ID,"Which of the following topics are you familiar with? (Here, familiar means you could explain the topic clearly to a friend without Googling it first.) Check all that apply.",How comfortable are you with statistics?,How comfortable are you with programming?,Check all that apply: Which of the following are skills you believe you possess?,A4_t,A5_t,A6_t,project_t
118_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, sentiment analysis",8,7,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",4,5,4,20
119_wi20,"data science, Python, Jupyter Notebooks, machine learning, confounding, p-hacking, sentiment analysis",6,7,None of thse,10,7,7,20
120_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, sentiment analysis, pandas (the package, not the animal), sklearn, A|B testing",7,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",5,5,3,25
121_wi20,"data science, GitHub, Python, Jupyter Notebooks, JSON, p-value, A|B testing",8,9,"Formulate a plan for and complete a data science project from start to finish, Identify and explain how to approach an unfamiliar data science task",3,3,2,3
121_wi20,"GitHub, Python, Jupyter Notebooks, JSON, sentiment analysis, pandas (the package, not the animal)",9,10,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Identify and explain how to approach an unfamiliar data science task",3,3,3,10
122_wi20,"GitHub, Jupyter Notebooks",10,8,Communicate results concisely and efficiently in reports and presentations,4,4,4,20
123_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, A|B testing",9,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",1.5,2,1,5
124_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, confounding, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, A|B testing",9,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",6,4,6,30
125_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, A|B testing",7,8,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Identify and explain how to approach an unfamiliar data science task",1,2,2,50
128_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning, sentiment analysis, pandas (the package, not the animal), sklearn",5,8,"Formulate a plan for and complete a data science project from start to finish, Communicate results concisely and efficiently in reports and presentations",5,5,4,20
130_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, sentiment analysis, geospatial analysis",7,8,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",4,4,3,20
132_wi20,"Python, machine learning, p-value",5,5,Identify and explain how to approach an unfamiliar data science task,4,5,4,4
133_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), A|B testing",5,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Identify and explain how to approach an unfamiliar data science task",5,6,5,25
134_wi20,"version control (i.e. git), GitHub, Python, Jupyter Notebooks, sentiment analysis, pandas (the package, not the animal)",7,9,"Formulate a plan for and complete a data science project from start to finish, Identify and explain how to approach an unfamiliar data science task",3,3,3,20
135_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, p-hacking, sentiment analysis, geospatial analysis, pandas (the package, not the animal), A|B testing",8,9,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",4,4,2,20
136_wi20,"version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, confounding, p-value, pandas (the package, not the animal), A|B testing",7,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",3,3,3,15
137_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, p-hacking, sentiment analysis, geospatial analysis, none of these, pandas (the package, not the animal), sklearn, tetral analysis, A|B testing",9,9,Formulate a plan for and complete a data science project from start to finish,2,2,2,8
137_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, p-hacking, sentiment analysis, geospatial analysis, none of these, pandas (the package, not the animal), sklearn, tetral analysis, A|B testing",10,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",2,2,2,25
139_wi20,"data science, version control (i.e. git), Python, Jupyter Notebooks, JSON, machine learning, confounding, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal)",8,8,"Formulate a plan for and complete a data science project from start to finish, Communicate results concisely and efficiently in reports and presentations",4,5,3,10
140_wi20,"version control (i.e. git), GitHub, Python, machine learning, p-value, sentiment analysis, pandas (the package, not the animal), sklearn, A|B testing",9,8,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",5,2,1,60
141_wi20,none of these,3,7,Communicate results concisely and efficiently in reports and presentations,4,6,3,10
141_wi20,Python,3,8,Communicate results concisely and efficiently in reports and presentations,7,15,3,4
142_wi20,"data science, GitHub, Jupyter Notebooks, machine learning, confounding, p-value, p-hacking",5,6,"Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",10,8,6,20
144_wi20,"version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning, confounding, pandas (the package, not the animal)",5,10,"Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",3,4,2,19
145_wi20,"Python, Jupyter Notebooks, JSON, pandas (the package, not the animal)",4,4,Identify and explain how to approach an unfamiliar data science task,7,12,6,24
147_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, sentiment analysis, pandas (the package, not the animal)",7,7,"Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",4,4,5,17
148_wi20,Python,3,7,Communicate results concisely and efficiently in reports and presentations,4,4,4,10
149_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, geospatial analysis, pandas (the package, not the animal), A|B testing",7,7,"Formulate a plan for and complete a data science project from start to finish, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",10,8,8,40
150_wi20,"Python, machine learning, confounding, p-value, p-hacking, geospatial analysis, pandas (the package, not the animal), A|B testing",7,7,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",3,4.5,3,5
151_wi20,"GitHub, Python, Jupyter Notebooks, machine learning, sentiment analysis, pandas (the package, not the animal)",5,5,Communicate results concisely and efficiently in reports and presentations,5,5,6,12
153_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, sentiment analysis, pandas (the package, not the animal)",5,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",5,4,3,30
154_wi20,"data science, GitHub, Python, Jupyter Notebooks, JSON, sentiment analysis, pandas (the package, not the animal)",8,8,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",4,4,4,10
155_wi20,"data science, GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, A|B testing",8,8,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",1,1,1,10
156_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, confounding, p-value, pandas (the package, not the animal)",7,7,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python",4,5,5,4
157_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn",8,9,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",3,4,2,30
159_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, confounding, sentiment analysis, pandas (the package, not the animal), sklearn",6,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",3,3,3,20
163_wi20,"version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, confounding, p-value, pandas (the package, not the animal), A|B testing",5,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",8,10,11,30
164_wi20,"Python, Jupyter Notebooks, tabular data, JSON, sentiment analysis, pandas (the package, not the animal), sklearn",5,7,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",4,4,5,10
165_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, p-hacking, sentiment analysis, geospatial analysis, none of these, pandas (the package, not the animal), sklearn, tetral analysis, A|B testing",6,6,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",5,5,5,10
168_wi20,"data science, Jupyter Notebooks, pandas (the package, not the animal)",6,7,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python",6,6,6,24
169_wi20,"data science, GitHub, Python, Jupyter Notebooks, confounding, p-value, p-hacking, pandas (the package, not the animal)",7,7,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",3,4,6,20
170_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, p-hacking, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, A|B testing",9,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",0.5,0.5,0.5,5
170_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, p-hacking, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, A|B testing",10,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",0.5,0.5,1,7
172_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, p-hacking, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, tetral analysis, A|B testing",10,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",3,3,3,20
173_wi20,"version control (i.e. git), GitHub, Python, JSON, machine learning, p-value, pandas (the package, not the animal), sklearn",4,10,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python",1.5,1.5,1.5,6
174_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, confounding, p-value, pandas (the package, not the animal)",6,8,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",4,4,4,40
175_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, confounding, p-value, p-hacking, sentiment analysis, pandas (the package, not the animal), sklearn, A|B testing",7,9,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",3,3,3,30
176_wi20,"data science, GitHub, Python, Jupyter Notebooks, machine learning, confounding, p-value, sentiment analysis, pandas (the package, not the animal), A|B testing",6,4,"Formulate a plan for and complete a data science project from start to finish, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",4,4,4,30
177_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, tetral analysis, A|B testing",8,9,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",4,6,4,26
178_wi20,"version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, sentiment analysis, pandas (the package, not the animal), sklearn",9,10,"Formulate a plan for and complete a data science project from start to finish, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",2,2,3,20
179_wi20,"Python, p-value, p-hacking, pandas (the package, not the animal), A|B testing",6,5,"Formulate a plan for and complete a data science project from start to finish, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",8,7,6,20
180_wi20,"GitHub, Python, Jupyter Notebooks, p-value, pandas (the package, not the animal)",4,6,"Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",4,5,3,23
181_wi20,"data science, GitHub, Python, Jupyter Notebooks, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), A|B testing",9,8,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, None of thse",4,6,3,15
182_wi20,"GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, sentiment analysis, pandas (the package, not the animal), sklearn",6,10,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Identify and explain how to approach an unfamiliar data science task",1,3,1,6
183_wi20,"data science, version control (i.e. git), Python, Jupyter Notebooks, machine learning, confounding, p-value, pandas (the package, not the animal), sklearn",7,8,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",4,8,10,22
184_wi20,"data science, Python, p-value, pandas (the package, not the animal), A|B testing",8,7,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",4,4,3,10
185_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, tetral analysis",7,9,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",3,4,3,8
186_wi20,Python,7,5,Formulate a plan for and complete a data science project from start to finish,8,8,5,10
187_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, geospatial analysis, pandas (the package, not the animal)",7,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",3,3,2,12
188_wi20,"version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, confounding, p-value, sentiment analysis, pandas (the package, not the animal), sklearn",6,8,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",3,3,3,20
189_wi20,"version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, p-value, A|B testing",7,9,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",3,5,6,20
190_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, tetral analysis, A|B testing",8,8,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",2,2,2,6
190_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, p-hacking, sentiment analysis, geospatial analysis, none of these, pandas (the package, not the animal), sklearn, tetral analysis, A|B testing",8,8,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",2,2,2,5
191_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, confounding, pandas (the package, not the animal)",5,9,"Formulate a plan for and complete a data science project from start to finish, Communicate results concisely and efficiently in reports and presentations",3,3,3,20
192_wi20,"Python, p-value, pandas (the package, not the animal)",5,4,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python",4,6,3,10
193_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal)",3,6,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",3,3,3,16
196_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, geospatial analysis, pandas (the package, not the animal), sklearn",7,8,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",2,2,2,5
197_wi20,"version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, pandas (the package, not the animal)",5,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Identify and explain how to approach an unfamiliar data science task",5,5,5,15
199_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn",7,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",7,7,3,40
200_wi20,"data science, Python, Jupyter Notebooks, machine learning, p-value, pandas (the package, not the animal)",6,5,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Identify and explain how to approach an unfamiliar data science task",5,5,5,20
201_wi20,"p-value, sentiment analysis, pandas (the package, not the animal)",5,5,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python",5,5,7,24
202_wi20,"GitHub, Python, machine learning, p-value, pandas (the package, not the animal)",4,9,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python",3,4,2,35
206_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning, confounding, p-value, p-hacking, sentiment analysis, pandas (the package, not the animal)",8,7,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",2.5,2,2.5,20
206_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning, confounding, p-value, p-hacking, pandas (the package, not the animal)",8,7,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",2,2,2.5,25
207_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, confounding, p-value, p-hacking, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, A|B testing",10,10,Identify and explain how to approach an unfamiliar data science task,3,3,3,10
208_wi20,"version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, p-value, sentiment analysis, pandas (the package, not the animal)",8,7,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",5,4,4,20
209_wi20,"data science, GitHub, Python, Jupyter Notebooks, p-value, pandas (the package, not the animal)",6,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",5,7,4,20
210_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, confounding, p-value, pandas (the package, not the animal)",8,8,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",4,4,4,15
211_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, sentiment analysis, pandas (the package, not the animal)",2,9,"Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",2,3,2,20
212_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal)",9,8,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",4,3,3,33
213_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, sentiment analysis, pandas (the package, not the animal)",5,8,"Formulate a plan for and complete a data science project from start to finish, Communicate results concisely and efficiently in reports and presentations",8,10,12,10
214_wi20,"GitHub, Python, Jupyter Notebooks",5,3,Formulate a plan for and complete a data science project from start to finish,38,38,30,40
216_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, confounding, p-value, sentiment analysis, pandas (the package, not the animal), sklearn, A|B testing",10,6,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",3,3,3,7
217_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, p-hacking, sentiment analysis, geospatial analysis, pandas (the package, not the animal), A|B testing",8,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",2,1,1,30
217_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, geospatial analysis, sklearn, A|B testing",7,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",2,2,2,6
218_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, sentiment analysis, pandas (the package, not the animal), sklearn",6,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",3,3,3,15
220_wi20,"version control (i.e. git), GitHub, Python, Jupyter Notebooks",8,8,Communicate results concisely and efficiently in reports and presentations,6,9,6,6
221_wi20,"data science, GitHub, Python, Jupyter Notebooks, machine learning, sentiment analysis, geospatial analysis, pandas (the package, not the animal)",6,6,"Formulate a plan for and complete a data science project from start to finish, Identify and explain how to approach an unfamiliar data science task",6,5,5,12
222_wi20,"data science, GitHub, Python, JSON",8,10,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Identify and explain how to approach an unfamiliar data science task",2,2,2,4
223_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, p-hacking, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn",10,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python",3,4,2,10
224_wi20,"Jupyter Notebooks, p-value",7,6,"Formulate a plan for and complete a data science project from start to finish, Communicate results concisely and efficiently in reports and presentations",5,7,4,9
225_wi20,"data science, GitHub, Python, JSON, machine learning, p-value, A|B testing",3,7,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",3,4.5,5,10
226_wi20,"data science, GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, pandas (the package, not the animal)",7,9,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",2,2,2,20
228_wi20,"GitHub, Python, Jupyter Notebooks, p-value, pandas (the package, not the animal)",3,3,"Formulate a plan for and complete a data science project from start to finish, Identify and explain how to approach an unfamiliar data science task",8,8,8,20
229_wi20,"Python, Jupyter Notebooks, p-value, sentiment analysis",2,4,Identify and explain how to approach an unfamiliar data science task,20,20,15,70
229_wi20,"Jupyter Notebooks, sentiment analysis",4,4,Identify and explain how to approach an unfamiliar data science task,15,15,15,60
229_wi20,"Python, p-value",5,4,Formulate a plan for and complete a data science project from start to finish,30,30,30,50
230_wi20,"version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning, confounding, p-value, p-hacking, pandas (the package, not the animal), sklearn",5,4,Formulate a plan for and complete a data science project from start to finish,20,20,25,50
